hanzi_trad	hanzi_simp	pinyin	transcr	transc_rus	rus_translation	note	chinese_translation
各令坎	各令坎	NONE	kə -liŋ-k‘æ̃ ʔ	гэлинкэ	глинка (собачий помёт (потомство))		A:16a-01 狗𦞤子 
各泥的	各泥的	NONE	kəʔ -ni-tiə  ʔ	гэниди	гнида		A:16a-02 蟣子 
失敬坎	失敬坎	NONE	sə -ʨiŋ-k‘æ̃ ʔ	сэцзинкэ	щетинка (свиная щетина)		A:16a-02 豬鬃
蜜的史坎不煉的	蜜的史坎不炼的	NONE	miəʔ-tiəʔ-sɿ-k‘æ̃-pəʔ-lie-tiəʔ	мидисыкэ-бэлиди	метиска-блядь (беспородная собака)		A:16a-02 細狗
英佃史坎	英佃史坎	NONE	iŋ-t‘ie-sɿ-k‘æ̃	интесыкэ	индюшка		A:16a-02 西洋鷄
故西	故西	NONE	ku-ɕi	гуси	гусь		A:16a-03 燕兒
未納賀的	未纳贺的	NONE	vei-naʔ-xɤ-tiəʔ	вэйнаходи	в иноходи (ехать верхом)		A:16a-03 走馬
色高力不坎	色高力不坎	NONE	sə -kau-liə -pə - k‘æ̃	сэгаолибэкэ	скрипка (тряская езда)		A:16a-03 大顚
數不克	数不克	NONE	su-pə -k‘ə  ʔ ʔ	субэкэ	шибко (мчаться)		A:16a-03 大汗步
吔力西	吔力西	NONE	ie-liəʔ-ɕi	елиси	рысь (бежать рысью)		A:16a-04 跑力
不力代子/不衣染	不力代子/不衣染	NONE	pə -liə -tai-tsɿ /pəʔ-i-zæ̃	бэлидайцзы / бэизэ	полетается / бежа (лететь)		A:16a-04 飛力
不衣染	不衣染	NONE	pə -i-zæ̃ ʔ	бэйизэ	поезжа (улететь)		A:16a-04 飛了
鬧坎	闹坎	NONE	nau-k‘æ̃	наокэ	нога (копыто)		A:16a-04 蹄子
哦羅各	哦罗各	NONE	γɤ-luɤ-kə	ологэ	рог		ʔA:16a-05 角
馬爾地蜜失坎	马尔地蜜失坎	NONE	ma-ər-ti-miə -sə -k‘æ̃	мардимисэкэ	мартмышка (род иволги)		A:16a-05 魚鶯
勿力備	勿力备	NONE	və -liə -pi ʔ ʔ	вэлиби	воробей		A:16a-05 鵲( 雀)兒
達賁	达贲	NONE	ta -pəŋ ʔ	дабэн	табун [лошадиный]		A:16b-01 馬群
入拉勿力	入拉勿力	NONE	zuəʔ-la-vəʔ-liəʔ	зулавэли	журавль		A:16b-01 白鶴
不地子	不地子	NONE	pə -ti-tsɿ ʔ	бэдицзы	птица		A:16b-01 飛禽
不達未	不达未	NONE	pə -ta -vei ʔ ʔ	бэдавэй	падовый (палый скот)		A:16b-01 殺牲口
個不力	个不力	NONE	kɤ-pə -liə  ʔ ʔ	гобэли	кобель		A:16b-02 翁(公)的
樹失坎	树失坎	NONE	su-sə -k‘æ̃ ʔ	сусэкэ	сушка (сено)		A:16b-02 草的
哦羅之勿地	哦罗之勿地	NONE	γɤ-luɤ-tsɿ-və -ti	олоцзывэди	разевать (совершить оплошность)		A:16b-02 錯念了
納臬必/臬普	纳臬必/臬普	NONE	na  niə -piə/niəʔ-p‘u	на ниби / нибу	на небе / небо		A:16b-04 天
幾明亮	几明亮	NONE	ʨi-miŋ-liɐ	цзиминля	земля		A:16b-04 地
高到伏	高到伏	NONE	kau-tau-fəʔ	гаодаофэ	годов (год)		A:16b-04 年
面昔子	面昔子	NONE	mie-ɕiəʔ-tsɿ	месицзы	месяц		A:16b-04 月
定/順子	定/顺子	NONE	tiŋ / suŋ-tsɿ	дин / сунцзы	день / солнце		A:16b-04 日
叉時	叉时	NONE	ts‘a-sɿ	цасы	час		A:16b-04 時
未的兒	未的儿	NONE	vei-tiə -ər ʔ	вэйдир	ветер		A:16b-05 風
哦羅日/哦不浪坎	哦罗日/哦不浪坎	NONE	γɤ-luɤ-zə  /  γɤ-pəʔ-lɐ-k‘æ̃	олозэ / обэлакэ	рожь / облако		A:16b-05 雲
各浪木	各浪木	NONE	kə -lɐ-məʔ ʔ	гэламэ	гром		A:16b-05 雷
道什	道什	NONE	tau-sə  ʔ	даосэ	дождь		A:16b-05 雨
都罵拉	都骂拉	NONE	tu-ma-la	думала	туман		A:16b-05 霧
不牙此	不牙此	NONE	pə -ia-ts‘ɿ ʔ	бэяцы	пьётся (роса)		A:16b-05 露
昔泥各/西艮	昔泥各/西艮	NONE	ɕiə -ni-kəʔ / ɕi-niŋ ʔ	синигэ / синин	снег		A:17a-01 雪
義艮	义艮	NONE	i-niŋ	инин	иней		A:17a-01 霜
林洛泥子	林洛泥子	NONE	liŋ-luə -ni-tsɿ ʔ	линлуницзы	Лилоница (созвездие Большой Медведицы)		A:17a-01 斗
捎吓的	捎吓的	NONE	sau-xa-tiəʔ	саохади	Сохатый (созвездие Орион)		A:17a-01 參
帽泥牙/哦西牙夜的	帽泥牙/哦西牙夜的	NONE	mau-ni-ia / γɤ-ɕi-ia-ie-tiə	маония / осияеди	молния / осияет		A:17a-01 雹(電)
各拉的	各拉的	NONE	kə -la-tiə  ʔ	гэлади	град		ʔA:17a-01 電(雹)
牙拉杜坎	牙拉杜坎	NONE	ia-la-tu-k‘æ̃	яладукэ	радуга		A:17a-02 虹
子未子的	子未子的	NONE	tsɿ-vei-tsɿ-tiə	цзывэйцзыди	звезда		ʔA:17a-02 星
旺達	旺达	NONE	vɐ̃-taʔ	вада	вода		A:17a-02 水
哦各泥	哦各泥	NONE	γɤ-kə -ni ʔ	огэни	огонь		A:17a-02 火
料達	料达	NONE	liau-taʔ	ляода	лёд		A:17a-02 冰
必哨什	必哨什	NONE	piə -sau-sə  ʔ ʔ	бисаосэ	песош (земля)		A:17a-02 土
勿力迷	勿力迷	NONE	və -liə -mi ʔ ʔ	вэлими	время		A:17a-03 時候
則素合	则素合	NONE	tsə -su-xə  ʔ ʔ	цзэсухэ	засуха		A:17a-03 天旱
道日內外煉的	道日内外炼的	NONE	tau-zə -vai lie-tiə  ʔ	даозэвай лет	доживай льёт (ливень)		A:17a-03 雨澇
杜池	杜池	NONE	tu-ts‘ɿ	тучи	туча		A:17a-03 黑雲
波缸的	波缸的	NONE	pɤ-kɐ-tiəʔ	богади	погода (дует ветер)		A:17a-04 刮風
道什衣吊	道什衣吊	NONE	tau-səʔ i-tiau	даосэ идяо	дождь идёт		A:17a-04 下雨
昔泥各衣吊	昔泥各衣吊	NONE	ɕiəʔ-ni-kəʔ i-tiau	синигэ идяо	снег идёт		A:17a-04 下雪
都罵拉	都骂拉	NONE	tu-ma-la	думала	туман (затуманилось)		A:17a-04 陰拉
不羅牙史泥郞	不罗牙史泥郞	NONE	pəʔ-luɤ-ia-sɿ-ni-lɐ	бэлоясынила	прояснилось		A:17a-05 晴拉
各浪史內定	各浪史内定	NONE	kə -lɐ-sɿ-nuei tiŋ ʔ	гэласынуй дин	красный день (днём)		A:17a-05 白日
鬧池/鬧求	闹池/闹求	NONE	nau-ts‘ɿ / nau-ʨ‘iəu	наоцы / наоцю	ночь / ночью		A:17a-05 黑夜
未何里	未何里	NONE	vei-xɤ-li	вэйхоли	вихрь		A:17a-05 旋風
悞的兒/悞的力	悞的儿/悞的力	NONE	u-tiəʔ-ər / u-tiəʔ-liəʔ	удир / удили	утро		A:17b-01 早晨
波浪未納定	波浪未纳定	NONE	pɤ-lɐ-vei-naʔ-tiŋ	болавэйна-дин	половина-день (полдень)		A:17b-01 午時
未俏兒內	未俏儿内	NONE	vei-ʨ‘iau-ər-nuei	вэйцяорнуй	вечерный (вечер)		A:17b-01 晚響
哦變淂	哦变淂	NONE	γɤ-pie-tiə	обеди	обед (после полудня)		A:17b-01 ʔ後響 
順子則失浪	顺子则失浪	NONE	suŋ-tsɿ tsəʔ-səʔ-lɐ	сунцзы цзэсэла	солнце зашла (солнце взошло)		A:17b-02 日出 
順子各地浪西	顺子各地浪西	NONE	suŋ-tsɿ kəʔ-ti-lɐ-ɕi	сунцзы гэдиласи	солнце катилась (солнце закатилось)		A:17b-02 日入 
面昔作什郞	面昔作什郞	NONE	mie-ɕiəʔ tsuəʔ-səʔ-lɐ̃	меси цзусэла	месяц зашла (месяц взошёл)		A:17b-02 月出 
面昔之各地勞西	面昔之各地劳西	NONE	mie-ɕiəʔ-tsɿ kəʔ-ti- lau-ɕi	месицзы гэдилаосы	месяц катилась (месяц закатился)		A:17b-02 月落 
未史那	未史那	NONE	vei-sɿ-na	вэйсына	весна		A:17b-03 春 
煉的內	炼的内	NONE	lie-tiəʔ-nuei	лединуй	летный (лето)		A:17b-03 夏 
臥昔由	卧昔由	NONE	vɤ-ɕiəʔ-iəu	восию	осенью		A:17b-03 秋 
幾毛	几毛	NONE	ʨi-mau	цзимао	зима		A:17b-03 冬 
勿史道克	勿史道克	NONE	vəʔ-sɿ-tau-k‘əʔ	вэсыдаокэ	восток		A:17b-04 東 
則罷地	则罢地	NONE	tsə -pa-ti	цзэбади	запад		A:17b-04 西 
棒各泥/又坎	棒各泥/又坎	NONE	pɐ̃-kəʔ-ni / iəu-k‘æ̃	багэни / юкэ	полдень / юг		A:17b-04 南
謝尾兒	谢尾儿	NONE	ɕie-vei-ər	севэйр	север		A:17b-04 北 
非勿拉力	非勿拉力	NONE	fei-vəʔ-la-liəʔ	фэйвэлали	февраль (первая луна)		A:17b-05 正月 
馬兒淂	马儿淂	NONE	ma-ər-tiəʔ	марди	март (вторая луна)		A:17b-05 貳月 
哈不力力	哈不力力	NONE	xa-pə -liə -liə  ʔ ʔ	хабэлили	апрель (третья луна)		A:17b-05 ʔ三月 
馬也	马也	NONE	ma-ie	мае	май (четвёртая луна)		A:17b-05 四月 
以由力	以由力	NONE	i-iəu-liəʔ	июли	июль (так в тексте. — И.П., Т.Т.) (пятая луна)		A:18a-01 五月
以由泥 	以由泥 	NONE	i-iəu-ni	июни	июнь (так в тексте — И.П., Т.Т.) (шестая луна)		A:18a-01 六月
哈勿故史唐 	哈勿故史唐 	NONE	xa-və -ku-sɿ-t‘ɐ ʔ	авэгусыта	август (седьмая луна)		A:18a-01 七月
心駕不力	心驾不力	NONE	ɕiŋ-ʨia-pəʔ-liəʔ	синцзябэли	сентябрь (восьмая луна)		A:18a-01 八月
哦各駕不力 	哦各驾不力 	NONE	γɤ-kə -ʨia-pə -liə  ʔ ʔ ʔ	огэцзябэли	октябрь (девятая луна)		A:18a-02 九月
納牙不力	纳牙不力	NONE	na -ia-pə -liə  ʔ ʔ ʔ	наябэли	ноябрь (десятая луна)		A:18a-02 拾月
力吓不力 	力吓不力 	NONE	liə -xa-pəʔ-liəʔ ʔ	лихабэли	декабрь (одиннадцатая луна)		A:18a-02 十一月
因力旺力 	因力旺力 	NONE	iŋ-liə -vɐ-liəʔ ʔ	инливали	январь (двенадцатая луна)		A:18a-02 十二月
未捎個史 	未捎个史 	NONE	vei-sau-kɤ-sɿ	вэйсаогосы	високос (год)		A:18a-03 壹年
未史個史 	未史个史 	NONE	vei-sɿ-kɤ-sɿ	вэйсыгосы	високос (вставная луна)		A:18a-03 閏月
定	定	NONE	tiŋ	дин	день		A:18a-03 日子 
别力外定/車史鬧	别力外定/车史闹	NONE	piə -liə -vai tiŋ / ts‘ɤ-sɿ-nau	биливай дин /цосынао	первый день / число		A:18a-03 初一日 
獨六怪定	独六怪定	NONE	tuəʔ-liəu-kuai tiŋ	дулюгуай дин	другой день (второй день)		A:18a-04 初二日 
的利定	的利定	NONE	tiə -li-tiŋ ʔ	дили дин	три-день (третий день)		A:18a-04 初三日 
不念定力	不念定力	NONE	pə -nie-tiŋ-liə  ʔ	бэнединли	понедельник		A:18a-04 壹天 
哦福獨兒泥各	哦福独儿泥各	NONE	γɤ-fəʔ-tuəʔ-ər-ni-kəʔ	офэдурнигэ	вторник		A:18a-04 貳天 
昔力達	昔力达	NONE	ɕiə -liə -ta  ʔ ʔ	силида	среда		A:18a-05 三天 
車史未兒各	车史未儿各	NONE	ts‘ɤ-sɿ-vei-ər-kə	цосывэйргэ	четверг		A:18a-05 四天 
癟地此	瘪地此	NONE	pie-ti-ts‘ɿ	бедицы	пятница		A:18a-05 五天 
書棒的	书棒的	NONE	su-pɐ̃-tiəʔ	субади	суббота		A:18a-05 六天 
旺史各力信	旺史各力信	NONE	vɐ̃-sɿ-kə -liə -ɕiŋ	васыгэлисин	воскресен (воскресенье)		A:18b-01 七天 
泥的兒	泥的儿	NONE	ni-tiə -ər ʔ	нидир	неделя		A:18b-01 勾七天 
旺史杜合	旺史杜合	NONE	vɐ̃-sɿ-tu-xəʔ	васыдухэ	воздух (хорошая погода)		A:18b-01 好天色 
念那西	念那西	NONE	nie-na-ɕi	ненаси	ненастье		A:18b-01 天色不好 
的利高到	的利高到	NONE	tiəʔ-li-kau-tau	дили гаодао	три года (позапрошлый год)		A:18b-02 前年 
不羅什內/史大利高到	不罗什内/史大利高到	NONE	pəʔ-luɤ-səʔ-nuei /sɿ-ta-li kau-tau	бэлосэнуй / сыдали гаодао	прошлый / старый год (прошлый год)		A:18b-02 去年 
笑文高到	笑文高到	NONE	ɕiau-vəŋ kau-tau	сяовэн гаодао	сего года (нынешний год)		A:18b-02 今年 
鬧尾高到	闹尾高到	NONE	nau-vei kau-tau	наовэй гаодао	новый год (будущий год)		A:18b-02 明年 
波昔力高到	波昔力高到	NONE	pɤ-ɕiə -liə  kau-tau ʔ	босили-гаодао	после-года (через два года)		A:18b-03 ʔ後年 
笑文艮	笑文艮	NONE	ɕiau-vəŋ-niŋ	сяовэннин	сегодня		A:18b-03 今日 
則伏獨兒	则伏独儿	NONE	tsə -fə -tuə -ər ʔ ʔ	цзэфэдур	завтра		A:18b-03 ʔ明日 
波昔力則伏獨兒	波昔力则伏独儿	NONE	pɤ-ɕiə -liə -tsə - fəʔ-tuəʔ-ər	босилицзэфэдур	послезавтра		A:18b-03 後日 
的利俊文艮	的利俊文艮	NONE	tiə -li-ʨyŋ-vəŋ niŋ ʔ	дилицзюнвэн нин	третьего день (позавчера)		A:18b-04 前日 
吃拉史	吃拉史	NONE	ts‘əʔ-la-sɿ	цэласы	вчерась		A:18b-04 昨日 
納池外	纳池外	NONE	na -ts‘ɿ-vai ʔ	нацывай	ночевай (ночевать)		A:18b-04 過夜 
吔力史大由	吔力史大由	NONE	ie-liəʔ-sɿ-ta-iəu	олисыдаю	растаять		A:18b-04 消雪 
數的內	数的内	NONE	su-tiəʔ-nuei	судинуй	сутки		A:18b-05 一日一夜 
書的那/史肚的囊	书的那/史肚的囊	NONE	su-tiəʔ-na / sɿ-tu-tiəʔ-nɐ	судина / сыдудина	студно (похолодать)		A:18b-05 冷了 
黑浪的納	黑浪的纳	NONE	xə -lɐ-tiə -na  ʔ ʔ	хэладина	холодный		A:18b-05 寒冷
染兒哥	染儿哥	NONE	zæ̃-ər-kɤ	зэрго	жарко		A:18b-05 暖了
臥昔利定內(內定)	卧昔利定内(内定)	NONE	vɤ-ɕiə -li-nuei tiŋ ʔ	Восилинуй дин	Васильный день (новый год, [день св. Василия])		A:19a-01 過年力
悞則吓兒內	悞则吓儿内	NONE	u tsəʔ-xa-ər-nuei	у Цзэхарнуй	у Захарный (праздник середины осени, день св. Захария [5 (18) сентября])		A:19a-01 開疋天地
棒史內	棒史内	NONE	pɐ̃-sɿ-nuei	босынуй	постный [день]		A:19a-01 把齋
磨羅史內	磨罗史内	NONE	mɤ-luɤ-sɿ-nuei	молосынуй	молочный (разговляться)		A:19a-01 開齋
不利沙的	不利沙的	NONE	pə -li-sa-tiə	бэлисади	палисад (городская стена)		A:19a-03 城
乃罵池	乃骂池	NONE	nai-ma-ts‘ɿ	наймацы	наймачи (огороженное место)		A:19a-03 圈子
古迷兒/次兒個伏	古迷儿/次儿个伏	NONE	ku-mi-ər / ts‘ɿ-ər-kɤ-fəʔ	гумир / цыргофэ	кумир[ня] / церковь (храм)		A:19a-03 廟
吔力各地兒	吔力各地儿	NONE	ie-liə -kə -ti-ər	елигэдир	ректор (канцелярия)		A:19a-03 閣兒
各門地兒	各门地儿	NONE	kə -məŋ-ti-ər	гэмэндир	командир (управа)		A:19a-04 衙門
未兒內悞里子	未儿内悞里子	NONE	vei-ər-nuei u-li-tsɿ	вэйрнуй улицзы	верный улица (восточная улица, верхняя улица)		A:19a-04 東街
泥而內悞里子	泥而内悞里子	NONE	ni-ər-nuei u-li-tsɿ	нирнуй улицзы	нижний улица (западная улица)		A:19a-04 西街
昔利艮悞里子	昔利艮悞里子	NONE	ɕiə -li-niŋ u-li-tsɿ ʔ	силинин-улицзы	середин-улица (средняя улица)		A:19a-04 中街
别里黑料史坎	别里黑料史坎	NONE	piə -li-xə -liau-sɿ-k‘æ̃	билихэляосыкэ	перекрёска (поперечная улица)		A:19a-05 橫街
洛伏坎	洛伏坎	NONE	luəʔ-fəʔ-k‘æ̃	луфэкэ	лавка [торговая]		A:19a-05 舖子
七兒個伏/把失半(年)	七儿个伏/把失半(年)	NONE	ʨ‘iə -ər-kɤ-fəʔʔ / pa-səʔ-nie	циргофэ / басэни	церковь / башня		A:19a-05 塔
哦各信旺兒	哦各信旺儿	NONE	γɤ-kə -ɕiŋ vɐ-ər ʔ	огэсин вар	гостин[ый] двор		A:19a-05 四合樓
則不利沙的	则不利沙的	NONE	tsə  pə -li-sa-tiə  ʔ ʔ ʔ	цзэ бэлисади	за палисадом (за северными воротами)		A:19b-01 北門外
則利什坎	则利什坎	NONE	tsə  li-sə -k‘æ̃ ʔ ʔ	цзэ лисэкэ	за речкой (к западу от реки)		A:19b-01 西河道
凍史坎	冻史坎	NONE	tuŋ-sɿ-k‘æ̃	дунсыкэ	доска (восточный мост)		A:19b-01 東梁上
則利池什內勿羅代	则利池什内勿罗代	NONE	tsə -li-ts‘ɿ-səʔ-nuei ʔvəʔ-luɤ-tai	цзэлицысэнуй вэлодай	заречишный ворота (за южными воротами)		A:19b-01 南門外
色進史坎/波定內	色进史坎/波定内	NONE	sə -ʨiŋ-sɿ-k‘æ̃ / pɤ-tiŋ-nuei	сэцзинсыкэ / бодиннуй	сидишка / подённый (караульное помещение за поселением)		A:19b-02 後營子
以(包)借史的	以(包)借史的	NONE	i-(pau-)ʨie-sɿ-tiəʔ	баоцзесыди	позишка (караульное помещение перед поселением)		A:19b-02 前營子
個林子/個浪泥子/唵辨	个林子/个浪泥子/唵辨	NONE	kɤ-liŋ-tsɿ / kɤ-lɐ-ni-tsɿ / γæ̃-pæ̃	голинцзы /голаницзы / амбэ	горница / амбар (постройка)		A:19b-02 房子
勿羅代	勿罗代	NONE	vəʔ-luɤ-tai	вэлодай	ворота		A:19b-02 大門
的未力	的未力	NONE	tiəʔ-vei-liəʔ	дивэйли	дверь		A:19b-03 小門子
波淂浪坎	波淂浪坎	NONE	pɤ-tiə -lɐ-k‘æ̃ ʔ	бодилакэ	потолок		A:19b-03 房頂子
到馬	到马	NONE	tau-ma	дома	дома (в доме)		A:19b-03 家裡
𠳾伴兒	𠳾伴儿	NONE	γæ̃-pæ̃-ər	амбэр	амбар (склад)		A:19b-03 貨房
麻地堯兒	麻地尧儿	NONE	ma-ti-iau-ər	мадияор	матёр (кухня)		A:19b-04 廚房
納獨野兒	纳独野儿	NONE	na  tuə -ie-ər ʔ ʔ	на дуер	на двор (во дворе)		A:19b-04 院力(裏)
不羅地伏	不罗地伏	NONE	pəʔ-luɤ-ti-fəʔ	бэлодифэ	против (напротив)		A:19b-04 對門子
捎不坎	捎不坎	NONE	sau-pə -k‘æ̃ ʔ	саобэкэ	сопка (гора)		A:19b-04 山
各連不西	各连不西	NONE	kə -lie-pə -ɕi ʔ ʔ	гэлебэси	крепость (граница)		A:19b-05 交界
束線的	束线的	NONE	suə -ɕie-tiə  ʔ ʔ	суседи	сосед		A:19b-05 隔壁
加那/昔那	加那/昔那	NONE	ɕie-ʨia-na / ɕiəʔ-na	сецзяна / сина	стена		A:19b-05 牆壁 謝
力吓	力吓	NONE	liə -xa ʔ	лика	река		A:19b-05 河 
磨林	磨林	NONE	mɤ-liŋ	молин	море		A:20a-01 海 
昔力個	昔力个	NONE	ɕiə -liə -kɤ ʔ ʔ	Силиго	Селенга (река)		A:20a-01 江 
則廟兒史	则庙儿史	NONE	tsə -miau-ər-sɿ ʔ	цзэмяорсы	замёрз (замёрзнуть)		A:20a-01 凍拉 
吔力史大由	吔力史大由	NONE	ie-liə -sɿ-ta-iəu ʔ	елисыдаю	растаять		A:20a-01 消下了 
磨林史大泥	磨林史大泥	NONE	mɤ-liŋ sɿ-ta-ni	молин сыдани	море стало (море замёрзло)		A:20a-02 凍了海 
各勞池子	各劳池子	NONE	kə -lau-ts‘ɿ-tsɿ ʔ	гэлаоцыцзы	колодец		A:20a-02 井 
面的坎勿達	面的坎勿达	NONE	mie-tiəʔ-k‘æ̃ vəʔ-taʔ	медикэ вэда	меткая вода (холодная вода)		A:20a-02 浪水 
吓迷	吓迷	NONE	xa-mi	хами	камень		A:20a-02 石頭 
昔未淂拉勿達	昔未淂拉勿达	NONE	ɕiəʔ-vei-tiəʔ-la vəʔ-taʔ	сивэйдила вэда	светлая вода (чистая вода)		A:20a-03 清水 
各連池旺達	各连池旺达	NONE	kə -lie-ts‘ɿ vɐ-ta  ʔ	гэлецы вэда	горячая вода		A:20a-03 開水 
暮的力內勿達	暮的力内勿达	NONE	mu-tiəʔ-liəʔ-nuei vəʔ-taʔ	мудилинуй вэда	мутный вода (мутная вода)		A:20a-03 混水 
必捎失	必捎失	NONE	piəʔ-sau-səʔ	бисаосэ	песок		A:20a-03 砂(沙)子 
以子未利坎	以子未利坎	NONE	i-tsɿ-vei-li-k‘æ̃	ицзывэйликэ	извёстка		A:20a-04 石灰
各兒被史	各儿被史	NONE	kəʔ-ər-pei-sɿ	кэрбэйсы	кирпич		A:20a-04 磚 
棒各連	棒各连	NONE	pɐ̃-kəʔ-lie	багэле	погреб		A:20a-04 窨子 
哦各浪坎	哦各浪坎	NONE	γɤ-kəʔ-lɐ-k‘æ̃	огэлакэ	огород		A:20a-04 園子 
各兩池	各两池	NONE	kə -liɐ-ts‘ɿ ʔ	гэляцы	грядки		A:20a-05 畦子 
務各佃	务各佃	NONE	u-kəʔ-t‘ie	угэди	уголь (мел)		A:20a-05 白土子 
淂洛地兒	淂洛地儿	NONE	tiə -luə -ti-ər ʔ ʔ	дилудир	трактир		A:20a-05 飯館
納道力哥	纳道力哥	NONE	naʔ tau-liəʔ-kɤ	на даолиго	на дороге (дорога)		A:20a-05 路兒 
各令那	各令那	NONE	kə -liŋ-na ʔ	гэлинна	глина		A:20b-01 泥 
達賁內/史各膽	达贲内/史各胆	NONE	taʔ-pəŋ-nuei /sɿ-kəʔ-tæ̃	дабэннуй /сыгэдэ	табный / скда (склад)		A:20b-01 厰 
報	报	NONE	pau	пао	по (подошва)		A:20b-01 腳底 
圪流池	圪流池	NONE	kə -liəu-ts‘ɿ ʔ	гэлюцы	ключ (родник)		A:20b-01 泉子 
佃力凹	佃力凹	NONE	t‘ie-liə -va ʔ	телива	трава		A:20b-02 靑草 
謝洛(諾)	谢洛(诺)	NONE	ɕie-nuəʔ	сено	сено		A:20b-02 黃草 
蘭吓兒	兰吓儿	NONE	læ̃-xa-ər	лэхар	ландкар[та] (географическая карта)		A:20b-02 地理圖 
哈幾牙史坎	哈几牙史坎	NONE	xa-ʨi-ia-sɿ-k‘æ̃	хацзиясыкэ	хозяшка (Цинское государство, Китай)		A:20b-02 大清國 
進木史坎	进木史坎	NONE	ʨiŋ-mə -sɿ-k‘æ̃ ʔ	цзинмэсыкэ	зимушка (Кяхта)		A:20b-03 恰圖(恰克圖) 
昔令干史坎	昔令干史坎	NONE	ɕiə -liŋ-kæ̃-sɿ-k‘æ̃ ʔ	Силингэсыкэ	Селенгашка (Селенга)		A:20b-03 昔令河
各束個兒	各束个儿	NONE	kəʔ-suəʔ-kɤ-ər	Гэсугор	Ксокор (Хайлар)		A:20b-03 合勞兒
旺吉兒	旺吉儿	NONE	vɐ̃-ʨiəʔ-ər	Вацзир	Вацзир (Ваджра?)		A:20b-03 魚撓兒
五兒吓	五儿吓	NONE	u-ər-xa	Урха	Урга (Кулунь)		A:20b-04 庫倫
高干史坎	高干史坎	NONE	kau-kæ̃-sɿ-k‘æ̃	Гаогэсыкэ	Калгашка, Калган (Чжанцзякоу)		A:20b-04 張家口
各拉史內牙兒史坎	各拉史内牙儿史坎	NONE	kə -la-sɿ-nuei-ia- ər-sɿ-k‘æ̃	Гэласынуйярсыкэ	Красноярск (западная крепость)		A:20b-04 西營
必力蓋	必力盖	NONE	piəʔ -liə -kai ʔ	билигай	берег; берега		A:20b-04 河邊子
凹日年	凹日年	NONE	va-zəʔ-nie	вазэне	важиня (овраг)		A:20b-05 山溝
垻地	垻地	NONE	pa-ti	бади	падь		A:20b-05 山溝子
凹失年	凹失年	NONE	va-səʔ-nie	васэнэ	важня (весы в гостином дворе)		A:20b-05 四合樓內稱亭子
各料史內	各料史内	NONE	kə -liau-sɿ-nuei ʔ	гэляосынуй	грязный		A:21a-01 泥力
順子書害	顺子书害	NONE	suŋ-tsɿ-su-xai	сунцзы-сухай	солнце-сухой (место, освещенное солнцем)		A:21a-01 陽地方
史佃泥	史佃泥	NONE	sɿ t‘ie-ni	сы дени	с тени (место в тени)		A:21a-01 陰涼處
煙謾	烟谩	NONE	ie-mæ̃	емэ	яма		A:21a-01 圪洞 
不浪的	不浪的	NONE	pə -lɐ-tiə  ʔ ʔ	бэлади	брод		A:21a-02 渡口 
勿達哦羅史利拉史	勿达哦罗史利拉史	NONE	və -taʔ γɤ-luɤ-sɿ-li-la-sɿ	вэда олосылиласы	вода разлилась (половодье)		A:21a-02 發山水 
吔力問各迷史	吔力问各迷史	NONE	ie-liəʔ-vəŋ-kəʔ-mi-sɿ	еливэн-гэмисы	ревень-комиссия (комиссия [ревенная])		A:21a-02 大黃城 
各拉史道	各拉史道	NONE	kə -la-sɿ-tau ʔ	гэласыдао	класта (собачья конура)		A:21a-02 狗窩 
不路的	不路的	NONE	pə -ləu-tiəʔ ʔ	бэлоуди	плот (плотина)		A:21a-03 水門 
未囊洛伏坎	未囊洛伏坎	NONE	vei-nɐ luə -fə -k‘æ̃	вэйна-луфэкэ	вино-лавка (винная лавка)		A:21a-03 酒舖 
幾毛壓/各柵兒磨	几毛压/各栅儿磨	NONE	ʨi-mau-iaʔ / kəʔ-tsa-ər-mɤ	цзимаоя / гэцзармо	зимовье / казарма (постоялый двор)		A:21a-03 店 
哦不浪坎	哦不浪坎	NONE	γɤ-pəʔ-lɐ-k‘æ̃	обэлакэ	облака (за оградой)		A:21a-03 柵子外 
煉西泥子	炼西泥子	NONE	lie-ɕi-ni-tsɿ	лесиницзы	лестница		A:21a-04 樓胡梯 
哦個什坎	哦个什坎	NONE	γɤ-kɤ-səʔ-k‘æ̃	огосэкэ	окошко		A:21a-04 窗戶
五書旦兒	五书旦儿	NONE	u-su-tæ̃-ər	усудэр	государь		A:21b-02 朝廷 
不洛吓地兒 	不洛吓地儿 	NONE	pə -luə -xa-ti-ər ʔ	бэлухадир	бригадир (маршал)		A:21b-02 元帥 ʔ
不羅羅克 	不罗罗克 	NONE	pəʔ-luɤ-luɤ-k‘əʔ	бэлолокэ	пророк (наставник)		A:21b-02 軍師 
英納那兒 	英纳那儿 	NONE	iŋ-naʔ-na-ər	иннанар	инанар (генерал)	неразличение н/л	A:21b-02 將軍
失大史坎	失大史坎	NONE	səʔ-ta-sɿ-k‘æ̃	сэдасыкэ	статский (сановник)		A:21b-03 欽差 
波兒迷失 	波儿迷失 	NONE	pɤ-ər-mi-səʔ	бормисэ	бурмистр (налоговый чиновник)		A:21b-03 稅司 
 書的牙 	 书的牙 	NONE	su-tiə -ia	судия	судья		A:21b-03 ʔ文官
