sheet_id	sentence_id	sentence_rus	sentence_zho	indices	proper_names	proper_zh
19	5	По словам Акимова, сейчас решается самый существенный вопрос — с частотами, частотным диапазоном, конверсией частотного спектра. 	阿基莫夫称，现正在解决5G网频率、频段和频谱转换这一根本问题。	3	Акимова	阿基莫夫
8	11	В Западной Сибири вымирают сразу несколько наречий селькупского языка: на южном и центральном говорят по 5 человек.	还有在西西伯利亚谢尔库普语的几种方言也很快就要消失：在南部和中部都只有5个人在讲这种语言。	3	Сибири	西伯利亚
12	30	Исследователь Е.И. Волкова называет одной из таких причин русское православие. 	研究员E.I.沃尔科娃认为其中一个原因是俄罗斯东正教，东正教的神父曾警告人们笑声是魔鬼的工具。	4	Волкова	沃尔科娃
5	0	Богатейший бизнесмен России Алишер Усменов сфокусируется на Китае	俄富豪乌斯马诺夫瞄准中国市场	3_4_8	России_Алишер_Усменов	乌斯马诺夫
5	6	В 2014 году Усманов в интервью американскому телеканалу CNBC оценил доходность своих инвестиций в китайский онлайн-ритейлер Alibaba, как превышающий 500%. 	2014年，乌斯马诺夫在接受美国CNBC频道采访时表示，他在中国电子商务巨头阿里巴巴的投资已经取得超过500%的回报。	3	Усманов	乌斯马诺夫
8	1	Китай и Россия создают единую платформу трансграничной электронной торговли. Об этом заявил торговый представитель России в КНР Алексей Груздев на Первом российско-китайском форуме трансграничной электронной торговли, который проходит 6 мая в городе Чжэньцзян провинции Цзянсу.	俄罗斯驻华商务代表阿列克谢·格鲁兹杰夫6日在江苏镇江举行的首届中俄跨境电商大会上表示，俄中就建立跨境电商统一服务平台达成一致，并签署了一揽子合作协议。	3_15_18_19	Россия_России_Алексей_Груздев	俄罗斯_阿列克谢·格鲁兹杰夫
9	1	Принадлежащий холдингу Газпром-медиа телеканал ТНТ продал права на производство одного из своих самых популярных ситкомов Интерны китайской медиакомпании JSBC. Об этом сообщает Коммерсант со ссылкой на гендиректора группы развлекательного ТВ Газпром-медиа Артура Джанибекяна.	日前，俄罗斯《生意人报》援引TNT喜剧电视台总经理阿尔图尔·扎尼别克杨的话称， “俄气传媒”麾下TNT电视台已将热播情景喜剧《实习医生》的翻拍权出售给江苏省广播电视总台（集团）（以下简称“江苏省广电集团”）。	32_33	Артура_Джанибекяна	阿尔图尔·扎尼别克杨
9	3	По словам Джани бекяна, в последние годы компания JSBC развивает направление телепроизводства.	扎尼别克杨称，近年来，江苏省广电集团大力拓展电视产品制作。	3_4	Джанибекяна	扎尼别克杨
10	1	Цены на билеты на матчи чемпионата мира по футболу 2018 года, который пройдет в России, станут известны в конце июня, об этом в четверг заявил генеральный директор оргкомитета "Россия-2018" Алексей Сорокин.	俄罗斯2018年世界杯足球赛组委会首席执行官阿列克谢 索罗金周四表示，将于2018年在俄罗斯举行的世界杯足球赛门票价格将于六月底公布。	14_28_29_30	России_Россия_Алексей_Сорокин	俄罗斯_阿列克谢_索罗金
10	2	Ранее председатель оргкомитета "Россия-2018" Виталий Мутко заявлял, что билетная программа ЧМ-2018 будет опубликована в октябре, заявив, что российская сторона пытается убедить ФИФА ввести четвертую категорию билетов, которые будут распространяться только среди граждан РФ и подразумевать разумные цены.	俄罗斯2018年世界杯足球赛组委会主席维塔利 穆特科此前曾表示，2018年世界杯门票方案将于10月公布，称俄方正试图说服国际足联实行只针对俄罗斯公民、价格更合理的第四档门票的销售。	4_5_6_33	Россия_Виталий_Мутко_РФ	俄罗斯_维塔利_穆特科
10	6	"Но это не значит, что цена просто скопируется. Все цены, в том числе на четвертую категорию, решает ФИФА. Это их прерогатива", добавил Сорокин.	索罗金说："但这不意味着只是简单地效仿。包括第四类门票在内的所有球票价格均由国际足联决定，这是他们的特权。"	23	Сорокин	索罗金
10	7	Чемпионат мира пройдет с 14 июня по 15 июля 2018 года на12 стадионах в 11 городах России: Москве, Калининграде, Санкт-Петербурге, Волгограде, Казани, Нижнем Новгороде, Самаре, Саранске, Ростове-на-Дону, Сочи и Екатеринбурге.	俄罗斯世界杯足球赛将于2018年6月14日至7月15日在俄罗斯11个城市的12个球场举行。这11个城市是莫斯科、加里宁格勒、圣彼得堡、伏尔加格勒、喀山、下诺夫哥罗德、萨马拉、萨兰斯克、顿河畔罗斯托夫、索契和叶卡捷琳堡。	12_13_14_15_16_17_19_20_21_22_23_25	России_Москве_Калининграде_Санкт-Петербурге_Волгограде_Казани_Новгороде_Самаре_Саранске_Ростове-на-Дону_Сочи_Екатеринбурге	俄罗斯_莫斯科_加里宁格勒_圣彼得堡_伏尔加格勒_喀山_下诺夫哥罗德_萨马拉_萨兰斯克_顿河畔罗斯托夫_索契_叶卡捷琳堡
