idx	sheet_id	sentence_id	sentence_rus	sentence_zho	proper_names	proper_zh	wordlist	jieba	pku	stanford
60	17	11	Нынешний российско-китайский бизнес-форум привлек к участию представителей администраций более 10 областей РФ, в том числе Московской, Орловской и Смоленской областей. Это в полной мере свидетельствует о том, что правительства административных единиц России придают особое значение торгово-экономическому сотрудничеству с Китаем. 	此次俄中商务论坛吸引了包括莫斯科州、奥廖尔州、斯摩棱斯克州等俄罗斯10多个地区的政府代表参加，足见俄罗斯地方政府对与中国进行经贸合作的重视。	РФ_Московской_Орловской_Смоленской_России	莫斯科_奥廖尔_斯摩棱斯克	斯摩棱斯克州_俄罗斯	莫斯科州_奥廖尔_斯摩棱斯克_俄罗斯	莫斯科州_奥廖尔州_斯摩棱斯克州_俄罗斯	莫斯科州_奥廖尔州_斯摩棱斯克州_俄罗斯
61	17	13	Манкевич считает, что в последние несколько лет китайские предприятия сосредоточивают свои инвестиции в России в таких сферах, как машиностроение, биотехнология и медицина. 	曼科维奇认为，最近几年中国企业在俄罗斯投资逐渐聚焦机械制造、生物科技、医疗等领域。	Манкевич_России	曼科维奇			曼科维奇	曼科维奇
62	17	16	«Мы создали информационную интернет-платформу для экспортеров и импортеров. На одной из встреч предпринимателей участники обсуждали темы, связанные с Китаем, в связи с этим мы запустили платформу, предоставляющую услуги на китайском языке, а также представили двухмерный штрих-код для пользователей WeChat», - отметила советник заместителя президента Сбербанка Наталья. 	“我们为出口商和进口商搭建了一个了解彼此信息的互联网平台。在一个俄罗斯企业家的会议上，大家总在谈论与中国有关的话题，于是我们开发了平台的中文服务，还引进了微信二维码。”俄罗斯储蓄银行副总裁顾问娜塔莉亚向记者介绍。	Наталья	俄罗斯_娜塔莉亚	俄罗斯	俄罗斯_娜塔莉	俄罗斯_娜塔莉	俄罗斯_娜塔莉
63	8	1	СЕВЕРОМОРСК /Мурманская область/, 3 июля. /ТАСС/. 	塔斯社摩尔曼斯克州北莫尔斯克7月3日电   	Североморск_Мурманская	摩尔曼斯克_北莫尔斯克	摩尔曼斯克州_北莫尔斯克	摩尔曼斯克_北莫尔斯克	摩尔曼斯克州_北莫尔斯克	摩尔曼斯克
64	8	2	Первым из горящего отсека глубоководного аппарата ВМФ РФ подводники эвакуировали гражданского, задраив за ним люк, чтобы не допустить распространения пожара. Об этом сообщил министр обороны Сергей Шойгу.	俄罗斯国防部部长谢尔盖·绍伊古称，首先从俄罗斯海军深潜器起火舱中被疏散出来的是公民，随后（潜艇艇员）关闭了舱门，以防火灾蔓延。	Сергей_Шойгу	谢尔盖_绍伊古	谢尔盖	谢尔盖	谢尔盖_绍伊古	谢尔盖
65	10	5	По словам генерального директора Московского зоопарка Светланы Акуловой, онлайн-трансляции помогут лучше узнать бамбуковых медведей.	莫斯科动物园总经理斯韦特兰娜·阿库洛娃表示，在线直播有助于公众更好地了解大熊猫。	Светланы_Акуловой	斯韦特兰娜_阿库洛娃			斯韦特兰娜·阿库洛娃	斯韦特兰娜·阿库洛娃
66	14	1	Журналистка Ольга Кузьменкова изложила в Facebook свою версию, из-за чего ее вместе с супругом Павлом Борисовым уволили из лондонской редакции «Би-би-си», где они работали редакторами.	女记者奥莉加·库兹缅科娃在Facebook上对于自己和丈夫帕维尔·鲍里索夫被从BBC伦敦编辑部辞退给出了自己的说法，夫妇俩本来都在这家媒体担任编辑。	Ольга_Кузьменкова_Павлом_Борисовым	奥莉加_库兹缅科娃_帕维尔_鲍里索夫	鲍里索夫	奥莉加_帕维尔	奥莉加_库兹缅科娃_帕维尔_鲍里索夫	奥莉加_帕维尔_鲍里索夫
67	14	2	По словам журналистки, Борисов пришел на работу, но числился вне штата, что вызывало негативное отношение со стороны его новых коллег. 	女记者说，鲍里索夫来工作，但属于编外人员，这使得他的新同事不满。	Борисов	鲍里索夫	鲍里索夫		鲍里索夫	鲍里索夫
68	14	3	Начальство предупреждало его о возможном прессинге со стороны других сотрудников, что в итоге и произошло, пишет Кузьменкова.	库兹缅科娃写道，上级提前提醒过他有可能受到来自其他同事的压力，这也最终发生了。	Кузьменкова	库兹缅科娃			库兹缅科娃	库兹缅科娃
69	16	2	Российская молочная продукция является одним из наиболее перспективных товаров для поставок на рынок Китая. Об этом в понедельник в беседе с корреспондентом ТАСС на полях VI Российско-китайского ЭКСПО в Харбине заявил руководитель пекинского офиса консалтинговой группы "Окно в Китай" Александр Зайнигабдинов.	俄罗斯“中国之窗”咨询集团有限公司北京代表处负责人亚历山大·扎尼加布迪诺夫周一在第六届中俄博览会现场与塔斯社记者的对话中称，俄罗斯乳制品是销往中国市场的最具前景的商品之一。	Александр_Зайнигабдинов	亚历山大_扎尼加布迪诺夫	亚历山大	亚历山大	亚历山大_扎尼加布迪诺夫	亚历山大
70	16	7	По словам Зайнигабдинова, производители других стран мира по такой схеме работать не смогут. "	根据扎尼加布迪诺夫的说法，其他国家的生产商无法这样工作。	Зайнигабдинова	扎尼加布迪诺夫			扎尼加布迪诺夫	
71	17	2	Китай занимает первое место среди стран, откуда в Москву приезжают больше всего туристов, сообщила начальник управления туризма комитета по туризму Москвы Екатерина Борисова.	莫斯科旅游委员会旅游局局长叶卡捷琳娜·鲍里索娃称，中国游客赴莫斯科旅游的人数位居首位。	Москву_Москвы_Екатерина_Борисова	莫斯科_叶卡捷琳娜_鲍里索娃		莫斯科_叶卡捷琳娜	莫斯科_叶卡捷琳娜_鲍里索娃	莫斯科_叶卡捷琳娜
72	17	7	Екатерина Проничева привела, в частности, убедительный пример. В прошлом году во время чемпионата мира по футболу в Москву приехало более 2 миллионов туристов.	叶卡捷琳娜·普罗尼切娃尤其给了一个令人信服的例子。去年世界杯期间超过200万的游客来到莫斯科。	Екатерина_Проничева_Москву	叶卡捷琳娜_普罗尼切娃_莫斯科		叶卡捷琳娜_莫斯科	叶卡捷琳娜_普罗尼切娃_莫斯科	叶卡捷琳娜_普罗尼切娃_莫斯科
73	17	9	Но и без чемпионата в Москву есть за чем приехать, говорила Проничева. 	普罗尼切娃说，就算没有在莫斯科举办的世界杯，也有来莫斯科的理由。	Москву_Проничева	普罗尼切娃			普罗尼切娃	普罗尼切娃
74	19	5	По словам Акимова, сейчас решается самый существенный вопрос — с частотами, частотным диапазоном, конверсией частотного спектра. 	阿基莫夫称，现正在解决5G网频率、频段和频谱转换这一根本问题。	Акимова	阿基莫夫	阿基莫夫	阿基莫夫	阿基莫夫	
75	8	11	В Западной Сибири вымирают сразу несколько наречий селькупского языка: на южном и центральном говорят по 5 человек.	还有在西西伯利亚谢尔库普语的几种方言也很快就要消失：在南部和中部都只有5个人在讲这种语言。	Сибири	西西伯利亚	西西伯利亚	西西伯利亚	西西伯利亚	西西伯利亚
76	12	30	Исследователь Е.И. Волкова называет одной из таких причин русское православие. 	研究员E.I.沃尔科娃认为其中一个原因是俄罗斯东正教，东正教的神父曾警告人们笑声是魔鬼的工具。	Волкова	沃尔科娃			沃尔科娃	沃尔科娃
77	5	0	Богатейший бизнесмен России Алишер Усменов сфокусируется на Китае	俄富豪乌斯马诺夫瞄准中国市场	России_Алишер_Усменов	乌斯马诺夫			乌斯马诺夫	乌斯马诺夫
78	5	6	В 2014 году Усманов в интервью американскому телеканалу CNBC оценил доходность своих инвестиций в китайский онлайн-ритейлер Alibaba, как превышающий 500%. 	2014年，乌斯马诺夫在接受美国CNBC频道采访时表示，他在中国电子商务巨头阿里巴巴的投资已经取得超过500%的回报。	Усманов	乌斯马诺夫			乌斯马诺夫	乌斯马诺夫
79	8	1	Китай и Россия создают единую платформу трансграничной электронной торговли. Об этом заявил торговый представитель России в КНР Алексей Груздев на Первом российско-китайском форуме трансграничной электронной торговли, который проходит 6 мая в городе Чжэньцзян провинции Цзянсу.	俄罗斯驻华商务代表阿列克谢·格鲁兹杰夫6日在江苏镇江举行的首届中俄跨境电商大会上表示，俄中就建立跨境电商统一服务平台达成一致，并签署了一揽子合作协议。	Россия_России_Алексей_Груздев	俄罗斯_阿列克谢_格鲁兹杰夫	俄罗斯	俄罗斯_阿列克谢	俄罗斯_阿列克谢_格鲁兹杰夫	俄罗斯_阿列克谢
80	9	1	Принадлежащий холдингу Газпром-медиа телеканал ТНТ продал права на производство одного из своих самых популярных ситкомов Интерны китайской медиакомпании JSBC. Об этом сообщает Коммерсант со ссылкой на гендиректора группы развлекательного ТВ Газпром-медиа Артура Джанибекяна.	日前，俄罗斯《生意人报》援引TNT喜剧电视台总经理阿尔图尔·扎尼别克杨的话称， “俄气传媒”麾下TNT电视台已将热播情景喜剧《实习医生》的翻拍权出售给江苏省广播电视总台（集团）（以下简称“江苏省广电集团”）。	Артура_Джанибекяна	阿尔图尔_扎尼别克杨	阿尔图尔		阿尔图尔_扎尼别克杨	阿尔图尔
81	9	3	По словам Джани бекяна, в последние годы компания JSBC развивает направление телепроизводства.	扎尼别克杨称，近年来，江苏省广电集团大力拓展电视产品制作。	Джанибекяна	扎尼别克杨				
82	10	1	Цены на билеты на матчи чемпионата мира по футболу 2018 года, который пройдет в России, станут известны в конце июня, об этом в четверг заявил генеральный директор оргкомитета "Россия-2018" Алексей Сорокин.	俄罗斯2018年世界杯足球赛组委会首席执行官阿列克谢 索罗金周四表示，将于2018年在俄罗斯举行的世界杯足球赛门票价格将于六月底公布。	России_Россия_Алексей_Сорокин	俄罗斯_阿列克谢_索罗金	俄罗斯_索罗金	俄罗斯_阿列克谢_索罗金	俄罗斯_阿列克谢_索罗金	俄罗斯_阿列克谢_索罗金
83	10	2	Ранее председатель оргкомитета "Россия-2018" Виталий Мутко заявлял, что билетная программа ЧМ-2018 будет опубликована в октябре, заявив, что российская сторона пытается убедить ФИФА ввести четвертую категорию билетов, которые будут распространяться только среди граждан РФ и подразумевать разумные цены.	俄罗斯2018年世界杯足球赛组委会主席维塔利 穆特科此前曾表示，2018年世界杯门票方案将于10月公布，称俄方正试图说服国际足联实行只针对俄罗斯公民、价格更合理的第四档门票的销售。	Россия_Виталий_Мутко_РФ	俄罗斯_维塔利_穆特科	俄罗斯_维塔利	俄罗斯_维塔利	俄罗斯_维塔利_穆特科	俄罗斯_维塔利_穆特科
84	10	6	Но это не значит, что цена просто скопируется. Все цены, в том числе на четвертую категорию, решает ФИФА. Это их прерогатива, добавил Сорокин.	索罗金说："但这不意味着只是简单地效仿。包括第四类门票在内的所有球票价格均由国际足联决定，这是他们的特权。"	Сорокин	索罗金	索罗金	索罗金	索罗金	索罗金
85	10	7	Чемпионат мира пройдет с 14 июня по 15 июля 2018 года на12 стадионах в 11 городах России: Москве, Калининграде, Санкт-Петербурге, Волгограде, Казани, Нижнем Новгороде, Самаре, Саранске, Ростове-на-Дону, Сочи и Екатеринбурге.	俄罗斯世界杯足球赛将于2018年6月14日至7月15日在俄罗斯11个城市的12个球场举行。这11个城市是莫斯科、加里宁格勒、圣彼得堡、伏尔加格勒、喀山、下诺夫哥罗德、萨马拉、萨兰斯克、顿河畔罗斯托夫、索契和叶卡捷琳堡。	России_Москве_Калининграде_Санкт-Петербурге_Волгограде_Казани_Новгороде_Самаре_Саранске_Ростове-на-Дону_Сочи_Екатеринбурге	俄罗斯_莫斯科_加里宁格勒_圣彼得堡_伏尔加格勒_喀山_下诺夫哥罗德_萨马拉_萨兰斯克_顿河畔罗斯托夫_索契_叶卡捷琳堡	顿河畔罗斯托夫_叶卡捷琳堡	俄罗斯_莫斯科_加里宁格勒_圣彼得堡_伏尔加格勒_喀山_下诺夫哥罗德_萨马拉_索契_叶卡捷琳堡	俄罗斯_莫斯科_加里宁格勒_圣彼得堡_伏尔加格勒_喀山__萨马拉_萨兰斯克__索契_卡捷琳堡	俄罗斯_莫斯科_圣彼得堡_喀山_萨马拉_索契_叶卡捷琳堡
